route_id,service_id,trip_id,trip_headsign,direction_id
11,SEMAINE,,11 CÉGEP GABRIELLE-ROY via PARC DE LA MONTAGNE,0
11,SEMAINE,,11 PLACE D'ACCUEIL via OTTAWA,1
14,SEMAINE,,14 CHELSEA,0
14,SEMAINE,,14 OTTAWA via PORTAGE,1
15,SEMAINE,,15 CANTLEY via STE-ÉLISABETH,0
15,SEMAINE,,15 STATION LA GAPPE,1
16,SEMAINE,,16 CANTLEY via MONT-JOËL,0
16,SEMAINE,,16 STATION LA GAPPE,1
17,SEMAINE,,17 CÉGEP GABRIELLE-ROY via ST-JOSEPH,0
17,SEMAINE,,17 PLACE D'ACCUEIL via OTTAWA,1
20,SEMAINE,,20 FREEMAN via CARRIÈRE,0
20,SEMAINE,,20 OTTAWA via CARTIER-MACDONALD,1
21,SEMAINE,,21 CASINO DU LAC-LEAMY,0
21,SEMAINE,,21 OTTAWA via MUSÉE DES CIVILISATIONS,0
22,SEMAINE,,22 OTTAWA via PORTAGE,1
22,SEMAINE,,22 PLATEAU via GRAVITÉ,0
24,SEMAINE,,24 PLATEAU,0
24,SEMAINE,,24 OTTAWA via PORTAGE,1
25,SEMAINE,,25 PLATEAU via ATMOSPHÈRE,0
25,SEMAINE,,25 OTTAWA via PORTAGE,1
26,SEMAINE,,26 PLATEAU via DES GRIVES,0
26,SEMAINE,,26 OTTAWA via PORTAGE,1
27,SEMAINE,,27 HAUTES-PLAINES,0
27,SEMAINE,,27 OTTAWA via PORTAGE,1
28,SEMAINE,,28 PRÉ TUNNEY via CHAMPLAIN,1
28,SEMAINE,,28 GAMELIN/ÉMOND via PLATEAU,0
29,SEMAINE,,29 OTTAWA via PORTAGE,1
29,SEMAINE,,29 DES  TREMBLES,0
31,SEMAINE,,31 OTTAWA via ALEXANDRA,1
31,SEMAINE,,31 CÉGEP GABRIELLE-ROY via PARC DE LA MONTAGNE,0
32,SEMAINE,,32 OTTAWA via CARRIÈRE via ALEXANDRA,1
32,SEMAINE,,32 CÉGEP GABRIELLE-ROY via CARRIÈRE / PARC DE LA MONTAGNE,0
33,SEMAINE,,33 FREEMAN/CÉGEP GABRIELLE-ROY/OTTAWA via CARTIER-MACDONALD,1
