DAVIDSON/de SAUTERNES sud (#8273), DAVIDSON/de COGNAC sud (#8273), NOBERT/DAVIDSON ouest (#8273), NOBERT/RADMORE ouest (#8271), NOBERT/du PINOT nord (#8271), NOBERT/de SAUTERNES nord (#8271), NOBERT/Montée PAIEMENT nord (#8271), NOBERT/Montée PAIEMENT (#8269), NOBERT/LEBOEUF nord (#8269), LEMAY/TROTTIER est (#8269), DUGAS/GRÉBER sud (#8269), GRÉBER /  DUGAS nord (#8267), GRÉBER/DUGAS nord (#8267), GRÉBER/OUTREMONT nord (#8267), GRÉBER/de la CÔTE-DES-NEIGES ouest (#8265), GRÉBER/de VARENNES ouest (#8265), GRÉBER/SAINT-RENÉ ouest (#8155), GRÉBER/NELLIGAN ouest (#8155), GRÉBER/BIENVENUE ouest (#8155), GRÉBER/d'ORLÉANS ouest (#8153), GRÉBER/de la GAPPE ouest (#8153), de la GAPPE/CLERMONT nord (#8159), de la GAPPE/de SILLERY nord (#8157), Quai local LA GAPPE ARRIVÉE (#None)
05:39 , 05:40 , 05:41 , 05:41 , 05:42 , 05:42 , 05:43 , 05:43 , 05:44 , 05:45 , 05:45 , 05:47 , 05:48 , 05:49 , 05:51 , 05:53 , 05:54 , 05:55 , 05:55 , 05:56 , 05:56 , 05:57 , 05:59 , 06:01
06:01 , 06:02 , 06:03 , 06:03 , 06:04 , 06:04 , 06:05 , 06:05 , 06:06 , 06:07 , 06:07 , 06:09 , 06:10 , 06:11 , 06:13 , 06:15 , 06:16 , 06:17 , 06:17 , 06:18 , 06:18 , 06:19 , 06:21 , 06:23
06:22 , 06:23 , 06:24 , 06:24 , 06:25 , 06:25 , 06:26 , 06:26 , 06:27 , 06:28 , 06:28 , 06:30 , 06:31 , 06:32 , 06:34 , 06:36 , 06:37 , 06:38 , 06:38 , 06:39 , 06:39 , 06:40 , 06:42 , 06:44
06:43 , 06:44 , 06:45 , 06:45 , 06:46 , 06:46 , 06:47 , 06:47 , 06:48 , 06:49 , 06:49 , 06:51 , 06:52 , 06:53 , 06:55 , 06:57 , 06:58 , 06:59 , 06:59 , 07:00 , 07:00 , 07:01 , 07:03 , 07:05
07:04 , 07:05 , 07:06 , 07:06 , 07:07 , 07:07 , 07:08 , 07:08 , 07:09 , 07:10 , 07:10 , 07:12 , 07:13 , 07:14 , 07:16 , 07:18 , 07:19 , 07:20 , 07:20 , 07:21 , 07:21 , 07:22 , 07:24 , 07:26
07:16 , 07:17 , 07:18 , 07:18 , 07:19 , 07:19 , 07:20 , 07:20 , 07:21 , 07:22 , 07:22 , 07:24 , 07:25 , 07:26 , 07:28 , 07:30 , 07:31 , 07:32 , 07:32 , 07:33 , 07:33 , 07:34 , 07:36 , 07:38
07:28 , 07:29 , 07:30 , 07:30 , 07:31 , 07:31 , 07:32 , 07:32 , 07:33 , 07:34 , 07:34 , 07:36 , 07:37 , 07:38 , 07:40 , 07:42 , 07:43 , 07:44 , 07:44 , 07:45 , 07:45 , 07:46 , 07:48 , 07:50
07:44 , 07:45 , 07:46 , 07:46 , 07:47 , 07:47 , 07:48 , 07:48 , 07:49 , 07:50 , 07:50 , 07:52 , 07:53 , 07:54 , 07:56 , 07:58 , 07:59 , 08:00 , 08:00 , 08:01 , 08:01 , 08:02 , 08:04 , 08:06
08:04 , 08:05 , 08:06 , 08:06 , 08:07 , 08:07 , 08:08 , 08:08 , 08:09 , 08:10 , 08:10 , 08:12 , 08:13 , 08:14 , 08:16 , 08:18 , 08:19 , 08:20 , 08:20 , 08:21 , 08:21 , 08:22 , 08:24 , 08:26
08:24 , 08:25 , 08:26 , 08:26 , 08:27 , 08:27 , 08:28 , 08:28 , 08:29 , 08:30 , 08:30 , 08:32 , 08:33 , 08:34 , 08:36 , 08:38 , 08:39 , 08:40 , 08:40 , 08:41 , 08:41 , 08:42 , 08:44 , 08:46
